Trinity_ID	SA23	SA31	SA80	SA4_S2	SA5_S3	SA7_S6	SA9_S7	SA11_S9
TRINITY_DN7715_c0_g1_i1	-1.53926655897277	-1.53926655897277	-1.53926655897277	2.75196861689894	-1.53926655897277	2.70805337600705	2.23631080195788	-1.53926655897277
TRINITY_DN1045_c0_g1_i12	1.84638769598408	2.121704054536	0.366384754656233	-2.07828231218567	0.606536425367548	-2.07828231218567	-2.07828231218567	1.29383400601317
TRINITY_DN5545_c0_g1_i11	0.752129963681247	1.73742906398849	1.40429432744663	-1.41394271226546	0.429639210888532	-1.41394271226546	-1.41394271226546	-0.0816644292085293
TRINITY_DN1467_c2_g1_i25	-1.1422275864985	-1.1422275864985	-1.1422275864985	0.646040496368337	-1.1422275864985	4.39338995214135	0.671707483982817	-1.1422275864985
TRINITY_DN12406_c0_g1_i8	-0.508144566996887	-0.508144566996887	-0.508144566996887	0.940756384148241	-0.508144566996887	1.21125794493637	0.38870850589982	-0.508144566996887
TRINITY_DN2027_c0_g1_i15	-0.413569996261812	-0.413569996261812	-0.413569996261812	0.562426961354631	-0.413569996261812	0.850666154781735	0.654756865172694	-0.413569996261812
TRINITY_DN6502_c0_g1_i6	0.463465725084972	0.755894400465362	0.851526385125589	-1.59658165858497	1.75815258138564	-1.59658165858497	-1.59658165858497	0.960705883693341
TRINITY_DN28322_c0_g1_i5	-0.448557330765756	-0.448557330765756	-0.448557330765756	0.703950617599147	-0.448557330765756	0.731590530392672	0.807245505836962	-0.448557330765756
TRINITY_DN9594_c0_g1_i1	-1.72872822748603	-1.72872822748603	-1.72872822748603	3.04816534103605	-1.72872822748603	3.27500891825783	2.32046687813625	-1.72872822748603
TRINITY_DN1682_c0_g1_i21	1.60207661328119	1.47712580729899	1.30057713801115	-2.08554401880371	0.674037954429846	-2.08554401880371	-2.08554401880371	1.20281454338995
